t,u,y
5.46000000,2.88520956,642.85717773
5.48000000,2.88520956,642.85717773
5.50000000,2.88520956,649.28576660
5.52000000,2.88520956,649.28576660
5.54000000,2.88520956,642.85717773
5.56000000,2.88520956,642.85717773
5.58000000,2.88520956,642.85717773
5.60000000,2.88520956,649.28576660
5.62000000,2.88520956,649.28576660
5.64000000,2.88520956,649.28576660
5.66000000,2.88520956,649.28576660
5.68000000,2.88520956,642.85717773
5.70000000,2.88520956,649.28576660
5.72000000,2.88520956,649.28576660
5.74000000,2.88520956,649.28576660
5.76000000,2.88520956,649.28576660
5.78000000,2.88520956,649.28576660
5.80000000,2.88520956,649.28576660
5.82000000,2.88520956,649.28576660
5.84000000,2.88520956,649.28576660
5.86000000,2.88520956,642.85717773
5.88000000,2.88520956,649.28576660
5.90000000,2.88520956,649.28576660
5.92000000,2.88520956,642.85717773
5.94000000,2.88520956,649.28576660
5.96000000,2.88520956,649.28576660
5.98000000,2.88520956,649.28576660
6.00000000,2.88520956,649.28576660
6.02000000,2.88520956,642.85717773
